distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
1.333920,0.009706,2,2.885367,-3.767219,-51.184645,-0.608213
1.337626,0.010004,2,2.882091,-3.768951,-51.187918,-0.609900
1.341331,0.009909,2,2.878816,-3.770684,-51.191191,-0.611588
1.345036,0.009079,2,2.875541,-3.772416,-51.194463,-0.613275
1.348742,0.008623,2,2.872265,-3.774149,-51.197736,-0.614963
1.352447,0.008021,2,2.868990,-3.775881,-51.201009,-0.616650
1.356152,0.007178,2,2.865715,-3.777614,-51.204281,-0.618338
1.359858,0.007000,2,2.862439,-3.779346,-51.207554,-0.620025
1.363563,0.007504,2,2.859164,-3.781079,-51.210827,-0.621713
1.367268,0.008494,2,2.855889,-3.782811,-51.214099,-0.623400
1.370974,0.009272,2,2.852613,-3.784544,-51.217372,-0.625088
1.374679,0.010155,2,2.849338,-3.786276,-51.220645,-0.626775
1.378384,0.011163,2,2.846063,-3.788009,-51.223917,-0.628463
1.382090,0.011969,2,2.842787,-3.789741,-51.227190,-0.630150
1.385795,0.012871,2,2.839512,-3.791474,-51.230463,-0.631838
1.389500,0.013164,2,2.836236,-3.793206,-51.233735,-0.633525
1.393206,0.012999,2,2.832961,-3.794939,-51.237008,-0.635213
1.396911,0.012755,2,2.829686,-3.796671,-51.240281,-0.636900
1.400616,0.012614,2,2.826410,-3.798404,-51.243553,-0.638588
1.404322,0.013028,2,2.823135,-3.800136,-51.246826,-0.640275
1.408027,0.014956,2,2.819860,-3.801869,-51.250099,-0.641963
1.411732,0.017659,2,2.816584,-3.803601,-51.253371,-0.643650
1.415438,0.021239,2,2.813309,-3.805334,-51.256644,-0.645338
1.419143,0.023858,2,2.810034,-3.807066,-51.259917,-0.647025
1.422848,0.025383,2,2.806758,-3.808799,-51.263189,-0.648713
1.426554,0.025362,2,2.803483,-3.810531,-51.266462,-0.650401
